,Unnamed: 0,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
5501,5501,Micah Edwards,I Never Like It When You Leave,40.0,0.665,0.456,5.0,-9.745,1,0.0331,0.804,0.0207,0.14,0.823,112.056,194203.0,4,2
6226,6226,Kevo Muney,I Got Feelings,50.0,0.803,0.545,10.0,-8.822,1,0.279,0.0336,0.1775619253660327,0.112,0.0993,144.01,183230.0,4,5
14062,14062,Fredo Bang,Click Up,63.0,0.767,0.753,2.0,-5.438,0,0.27,0.0639,0.1775619253660327,0.0852,0.646,84.972,120000.0,4,5
16178,16178,Britney Spears,Perfume (The Dreaming Mix),34.0,0.446,0.708,8.0,-4.367,1,0.0627,0.568,1.72e-06,0.311,0.496,159.858,4.041116667,4,9
15238,15238,The Raconteurs,Level,48.0,0.519,0.666,1.0,-9.732,1,0.0645,0.101,0.346,0.118,0.274,146.467,141160.0,4,10
13109,13109,Dinosaur Jr.,Start Choppin',53.0,0.373,0.755,2.0,-7.574,1,0.103,0.00411,0.000799,0.0635,0.57,111.813,340187.0,4,10
8578,8578,John Mellencamp,Jack & Diane,75.0,0.811,0.41,9.0,-8.214,1,0.0391,0.0365,6.63e-06,0.0799,0.626,103.965,254493.0,4,10
7254,7254,All About Eve,Flowers In Our Hair,32.0,0.491,0.797,6.0,-10.239,0,0.0383,0.0125,2.49e-05,0.111,0.61,152.268,265573.0,4,10
17768,17768,"Ragi Harbans Singh Jagadhari Wale, Party",Bahan Jinah Di Pakdiye,19.0,0.475,0.283,11.0,-17.128,0,0.044,0.868,2.98e-06,0.205,0.686,82.831,2.394116667,4,3
1974,1974,Tuna,◊©◊†◊ô◊¶◊ú◊ô◊ù,39.0,0.363,0.714,4.0,-5.743,0,0.19,0.195,0.1775619253660327,0.184,0.631,75.155,224144.0,4,5
13282,13282,"Ennio Morricone, Renaud Capuçon, Stéphane Denève, Brussels Philharmonic","Gabriel's Oboe (From ""The Mission"")",50.0,0.186,0.183,2.0,-16.074,1,0.0369,0.925,0.821,0.0926,0.0661,86.283,3.706666667,4,7
3369,3369,Trinidad Cardona,Dinero,88.0,0.708,0.782,2.0,-4.687,1,0.0674,0.00772,0.1775619253660327,0.107,0.484,119.997,2.68133333,4,9
6595,6595,KALEO,No Good,65.0,0.378,0.925,9.0,-3.781,1,0.185,0.0234,0.00062,0.18,0.584,108.525,234240.0,4,10
8939,8939,Momma,Biohazard,40.0,0.565,0.769,6.0,-7.863,0,0.0594,0.0135,0.794,0.171,0.464,124.069,145920.0,4,1
15103,15103,Aaron Smith,Unconditional,56.0,0.438,0.309,8.0,-9.022,0,0.0565,0.886,1.78e-06,0.21,0.314,137.705,203000.0,4,9
9322,9322,Richard Hell,Blank Generation,51.0,0.44,0.904,11.0,-4.409,0,0.177,0.275,7.45e-06,0.106,0.546,138.104,167840.0,4,6
5560,5560,Ben Harper,Found The One,30.0,0.77,0.748,5.952446502315104,-9.103,1,0.0411,0.345,0.155,0.137,0.966,126.155,167213.0,4,2
5730,5730,Yishay Swissa,◊û◊î ◊ñ◊î ◊ë◊õ◊ú◊ú ◊û◊©◊†◊î,30.0,0.481,0.728,11.0,-6.335,0,0.195,0.0454,0.1775619253660327,0.237,0.389,86.004,249351.0,4,5
1672,1672,Father John Misty,Everything Is Free - Recorded at Spotify Studios NYC,48.0,0.506,0.0952,7.0,-13.51,1,0.0385,0.91,3.55e-06,0.111,0.162,111.163,265687.0,4,1
13154,13154,Boj,Abracadabra,48.0,0.735,0.696,5.952446502315104,-7.097,0,0.0574,0.0562,0.0292,0.0594,0.955,94.973,195789.0,4,9
14336,14336,K.T. Oslin,80's Ladies,44.0,0.594,0.368,5.952446502315104,-11.504,1,0.024,0.207,8.51e-06,0.0811,0.297,98.358,4.188216667,4,4
1571,1571,The Only Ones,"Another Girl, Another Planet - 2008 re-mastered version",51.0,0.325,0.838,1.0,-6.501,0,0.144,0.0327,0.00042,0.126,0.449,156.507,181173.0,4,10
6841,6841,U2,I Will Follow,58.0,0.36,0.909,8.0,-6.827,1,0.0663,0.000347,3.28e-05,0.282,0.647,155.293,217387.0,4,1
2190,2190,Arik Einstein,◊ß◊§◊î ◊ò◊ï◊®◊ß◊ô - ◊ë◊ì◊©◊ê ◊ê◊¶◊ú ◊ê◊ë◊ô◊í◊ì◊ï◊®-◊®◊ô◊û◊ê◊°◊ò◊®◊ô◊†◊í,26.0,0.724,0.612,1.0,-10.86,0,0.0358,0.000175,0.1775619253660327,0.185,0.494,138.728,226645.0,4,10
2248,2248,Benjamin Ingrosso,Smile,29.0,0.592,0.749,6.0,-6.165,0,0.0295,0.000618,0.00122,0.166,0.799,127.038,192921.0,4,9
6543,6543,St. Louis Jimmy Oden,Goin' Down Slow,33.0,0.679,0.228,10.0,-14.992,1,0.0421,0.993,0.0363,0.164,0.491,82.516,191582.0,4,2
5456,5456,FIDLAR,By Myself,49.0,0.63,0.902,7.0,-4.265,1,0.103,0.00427,0.1775619253660327,0.328,0.759,120.964,214641.0,4,10
628,628,Gracie Abrams,Brush Fire,7.0,0.528,0.367,2.0,-9.227,1,0.055,0.878,0.000146,0.0795,0.293,128.715,190427.0,4,9
15296,15296,Marcy Playground,A Cloak Of Elvenkind,41.0,0.415,0.363,7.0,-10.736,1,0.0315,0.694,0.633,0.105,0.258,83.486,179933.0,4,10
10137,10137,Ulver,Russian Doll,40.0,0.569,0.499,9.0,-13.927,0,0.0506,0.166,0.0455,0.0738,0.496,169.963,235000.0,4,8
12484,12484,The Subways,Fight,42.0,0.446,0.963,6.0,-5.972,1,0.0987,0.0612,0.1775619253660327,0.323,0.727,165.028,161613.0,4,6
13260,13260,"Akhil, Dhvani Bhanushali, Abhijit Vaghani, Bob","Duniyaa (From ""Luka Chuppi"")",65.0,0.435,0.658,7.0,-5.949,0,0.0368,0.699,0.1775619253660327,0.125,0.524,77.17,3.70835,4,3
16210,16210,The Animals,House Of The Rising Sun,62.0,0.315,0.534,9.0,-7.552,0,0.031,0.000825,0.108,0.101,0.283,116.891,4.49533333,3,10
6540,6540,Diskopunk,Fire,46.0,0.735,0.798,9.0,-3.829,0,0.0578,0.00697,0.00968,0.194,0.501,115.98,197750.0,4,10
11516,11516,Nancy Wilson,4 Edward,33.0,0.725,0.403,2.0,-9.113,1,0.0471,0.726,0.859,0.096,0.232,119.947,103078.0,4,2
13664,13664,Yoni Rechter,◊©◊ï◊ë ◊î◊ô◊ê ◊õ◊ê◊ü,42.0,0.601,0.257,7.0,-14.934,1,0.0593,0.928,0.0568,0.138,0.251,79.465,184000.0,4,10
12122,12122,Advaita,Light,9.0,0.558,0.378,5.0,-11.554,1,0.0255,0.579,0.1775619253660327,0.101,0.247,81.938,5.10645,4,0
4695,4695,The Beach Boys,In My Room - Remastered,52.0,0.341,0.416,11.0,-9.574,1,0.0265,0.184,6.28e-05,0.0917,0.499,102.886,134133.0,3,10
6561,6561,I Will Be Your Shield,Billy Bragg,44.0,0.362,0.142,7.0,-14.888,1,0.0378,0.891,0.00021,0.0983,0.19,79.722,3.528216667,4,0
546,546,Electric Light Orchestra,Mr. Blue Sky,81.0,0.388,0.338,10.0,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373.0,4,9
8132,8132,Remi Wolf,Monte Carlo,62.0,0.797,0.625,8.0,-4.893,1,0.0518,0.084,0.1775619253660327,0.222,0.883,145.008,143793.0,4,6
10935,10935,Tash Sultana,Willow Tree (feat. Jerome Farah),45.0,0.379,0.734,8.0,-5.648,0,0.204,0.188,0.00011,0.146,0.515,174.952,199062.0,4,6
896,896,Benaia Barabi,◊õ◊û◊î ◊®◊ß◊ì◊†◊ï,45.0,0.419,0.339,7.0,-7.694,0,0.0366,0.784,1.56e-06,0.16,0.378,90.566,181390.0,3,9
15298,15298,"Above, Below",Paradise,26.0,0.474,0.992,9.0,-2.633,0,0.284,0.00046,0.000258,0.087,0.0826,125.042,195970.0,4,8
8289,8289,Intervals,Touch and Go,47.0,0.447,0.876,11.0,-3.895,0,0.0822,0.000105,0.872,0.0421,0.407,94.993,261560.0,4,8
3731,3731,Lielle,◊™◊®◊©◊ï◊ù,24.0,0.768,0.598,6.0,-9.952,1,0.185,0.326,2.9e-05,0.161,0.761,122.019,190940.0,4,6
9037,9037,Tyler Bryant & the Shakedown,Ride,37.0,0.482,0.845,1.0,-5.2,0,0.0328,0.0612,0.000719,0.357,0.698,175.774,206173.0,4,2
9853,9853,Tepr,Minuit Jacuzzi - Data Remix,27.0,0.566,0.873,5.952446502315104,-5.926,0,0.178,0.000371,0.932,0.079,0.527,121.946,263800.0,4,6
6500,6500,Luca George,Lonely Tonight,39.0,0.882,0.553,5.952446502315104,-5.319,1,0.075,0.149,0.1775619253660327,0.292,0.632,110.971,190558.0,4,9
15152,15152,EllMatic,Before It's Over,36.0,0.824,0.348,11.0,-11.937,0,0.462,0.28,0.1775619253660327,0.0986,0.897,90.978,190549.0,4,5
3038,3038,Muse,Madness,68.0,0.502,0.417,10.0,-7.665,1,0.0718,0.127,0.00419,0.106,0.218,180.301,281040.0,4,10
17716,17716,The Early November,Call Off The Bells,47.0,0.566,0.29,6.0,-4.622,1,0.0318,0.241,0.000174,0.0994,0.106,127.0,263320.0,4,10
17617,17617,Iggy Azalea,Sip It,68.0,0.948,0.627,1.0,-6.11,1,0.106,0.00936,1.35e-05,0.0743,0.417,129.995,195784.0,4,5
17647,17647,Muskets,17 Years,31.0,0.446,0.935,8.0,-4.677,1,0.0357,7.02e-05,0.000745,0.121,0.614,136.06,183583.0,4,10
555,555,Stick Figure,World on Fire (with Slightly Stoopid),51.0,0.866,0.518,5.952446502315104,-7.372,1,0.0457,0.303,0.0512,0.104,0.644,141.01,240029.0,4,10
15950,15950,Dance Gavin Dance,We Own The Night,63.0,0.224,0.905,5.0,-3.239,0,0.0722,0.0509,0.1775619253660327,0.281,0.485,78.318,205707.0,4,10
530,530,Pinkshinyultrablast,Songs,42.0,0.12,0.87,9.0,-6.984,1,0.0995,0.0018,0.815,0.0834,0.0536,179.815,950210.0,3,6
11447,11447,Slint,"Don, Aman",41.0,0.469,0.124,5.952446502315104,-24.361,0,0.0486,0.164,0.884,0.0988,0.0328,136.59,388400.0,4,10
14162,14162,Geeta Dutt,Neele Aasmani,3.0,0.501,0.449,7.0,-6.04,0,0.0349,0.859,0.1775619253660327,0.0643,0.658,112.805,4.554883333,4,3
17172,17172,"Alka Yagnik, Vinod Rathod",Aisi Deewangi,47.0,0.444,0.755,1.0,-9.801,0,0.0528,0.512,7.71e-05,0.0554,0.619,115.051,6.9246,4,3
8576,8576,Arik Einstein,◊ê◊ë◊©◊ú◊ï◊ù - ◊©◊ë◊ú◊ï◊ú - ◊®◊ô◊û◊ê◊°◊ò◊®◊ô◊†◊í,29.0,0.45,0.34,4.0,-15.18,1,0.0648,0.094,0.0207,0.174,0.268,75.945,249173.0,4,10
6891,6891,Countee Cullen,Heritage,5.0,0.565,0.248,10.0,-17.369,0,0.862,0.977,0.584,0.306,0.61,80.755,222760.0,4,5
5376,5376,Diddy,Diddy (feat. The Neptunes),47.0,0.797,0.847,6.0,-1.79,0,0.237,0.384,0.000388,0.0566,0.962,100.178,234773.0,4,5
2003,2003,Ell Murphy,Arms Around,32.0,0.778,0.825,11.0,-6.73,0,0.105,0.00588,0.581,0.0659,0.725,133.015,306569.0,4,1
3020,3020,In Flames,Come Clarity,45.0,0.37,0.928,10.0,-4.859,0,0.115,0.000941,0.346,0.145,0.0965,149.714,255713.0,4,8
5261,5261,"Martin Landström, Gustav Lundgren",Think Forward,47.0,0.52,0.219,7.0,-13.53,1,0.037,0.929,0.356,0.121,0.158,115.459,4.5052,4,7
2112,2112,Imagine Dragons,Radioactive - Live,41.0,0.495,0.553,6.0,-6.859,1,0.0397,0.0816,0.1775619253660327,0.424,0.377,138.999,270160.0,4,10
14996,14996,John Paul Jones,Leafy Meadows,37.0,0.479,0.909,2.0,-7.404,1,0.0716,9.07e-05,0.758,0.634,0.278,111.892,310467.0,4,10
9675,9675,BOBBY,Spotlight,43.0,0.675,0.766,11.0,-2.625,0,0.0399,0.0211,0.1775619253660327,0.0958,0.562,118.957,215067.0,4,10
7043,7043,Siouxsie and the Banshees,Spellbound,58.0,0.415,0.853,7.0,-11.098,1,0.038,0.0107,0.000499,0.536,0.302,148.494,197013.0,4,1
17671,17671,The Offspring,Hit That,62.0,0.704,0.809,4.0,-3.045,1,0.0321,0.0233,0.1775619253660327,0.0596,0.962,131.952,169413.0,4,10
14699,14699,Ethan Fields,Cooler Than Me,67.0,0.578,0.849,5.0,-4.614,0,0.0595,0.00218,0.1775619253660327,0.389,0.626,136.021,155294.0,4,9
12424,12424,The Ataris,The Boys of Summer,67.0,0.251,0.954,6.0,-2.879,1,0.0691,0.000674,0.000132,0.0975,0.264,191.059,258000.0,4,9
5595,5595,Black Paisley,Without Us,31.0,0.56,0.801,2.0,-5.798,0,0.0328,0.000307,0.1775619253660327,0.215,0.691,131.953,254678.0,4,8
3838,3838,Quaker City Night Hawks,Good Evening,42.0,0.527,0.606,5.0,-6.799,1,0.0305,0.0134,0.00029,0.418,0.267,105.509,279107.0,4,2
12737,12737,Hila Ruach,◊û◊ï◊°◊ô◊ß◊î ◊ú◊§◊®◊°◊ï◊û◊ï◊™,22.0,0.516,0.649,2.0,-7.21,1,0.0267,0.00498,0.0656,0.31,0.49,92.097,264960.0,4,9
1194,1194,John Prine,That's the Way the World Goes Round,55.0,0.636,0.454,5.0,-16.548,1,0.0615,0.599,0.00343,0.304,0.806,155.547,3.33733333,4,0
298,298,Lower Than Atlantis,Had Enough,45.0,0.561,0.823,2.0,-4.851,1,0.097,0.0029,0.00017,0.492,0.525,93.504,200760.0,4,1
7005,7005,Ocean Colour Scene,The Riverboat Song,55.0,0.484,0.862,11.0,-6.39,0,0.0278,0.0061,2.74e-05,0.547,0.565,106.922,294800.0,3,1
1247,1247,Britney Spears,Overprotected - The Darkchild Remix - Remastered,39.0,0.433,0.815,5.0,-4.737,0,0.38,0.0072,1.92e-06,0.356,0.911,191.803,3.334216667,4,9
369,369,The Faint,The Geeks Were Right,37.0,0.737,0.668,5.0,-6.261,0,0.0323,0.00405,6.04e-05,0.385,0.961,131.009,176240.0,4,6
13223,13223,Parquet Courts,Black And White,37.0,0.318,0.975,9.0,-4.21,1,0.0926,0.00562,0.826,0.345,0.668,174.206,182987.0,4,6
3699,3699,The Robert Cray Band,All the Way,34.0,0.561,0.398,9.0,-12.848,1,0.0607,0.686,0.0025,0.135,0.363,171.834,311667.0,4,2
1499,1499,False Advertising,You Won't Feel Love,6.0,0.495,0.783,2.0,-8.835,1,0.0361,3.65e-05,0.261,0.574,0.567,144.072,226587.0,4,10
4042,4042,Superlove,btw! i adore u,37.0,0.536,0.836,5.952446502315104,-5.976,1,0.0948,0.000233,0.00177,0.402,0.576,82.526,200909.0,4,10
15737,15737,Elvis Presley,Mystery Train,52.0,0.699,0.514,4.0,-12.61,1,0.0315,0.587,0.029,0.22,0.63,120.758,144947.0,4,10
7436,7436,Curtis Salgado,Always Say I Love You (At The End Of Your Goodbyes),31.0,0.633,0.505,7.0,-6.748,1,0.0801,0.745,0.00514,0.108,0.275,132.133,243025.0,4,2
4130,4130,Filthy Gears,Duck Duck Goose,13.0,0.619,0.663,2.0,-7.249,1,0.0608,0.000538,0.0324,0.286,0.277,93.427,193074.0,5,5
4212,4212,The Marcus King Band,Boone,38.0,0.357,0.757,7.0,-7.487,0,0.041,0.000843,0.00435,0.262,0.488,169.981,329544.0,4,10
7,7,Randy Travis,On the Other Hand,55.0,0.657,0.415,5.0,-9.915,1,0.025,0.175,5.65e-06,0.132,0.347,96.03,3.105783333,4,4
891,891,Ministry,Alert Level (Quarantined Mix),44.0,0.547,0.949,9.0,-6.244,1,0.0546,0.00038,0.177,0.101,0.169,119.991,366427.0,4,8
1420,1420,Billy Strings,Away From The Mire,53.0,0.379,0.593,6.0,-9.113,0,0.0295,0.584,0.00547,0.122,0.511,143.207,463653.0,4,1
2502,2502,Counting Crows,Sullivan Street,47.0,0.566,0.378,2.0,-7.714,1,0.0248,0.457,1.7e-05,0.0943,0.185,80.772,268000.0,4,10
2304,2304,No s√© a qui√©n matar,S.O.S.,27.0,0.447,0.733,4.0,-6.186,1,0.0283,0.0151,0.876,0.209,0.419,180.036,177772.0,4,6
11449,11449,Ben Flocks,Ebb Tide,45.0,0.179,0.211,5.0,-11.936,1,0.0326,0.896,0.76,0.431,0.231,174.248,3.101333333,3,7
16227,16227,Stepson,Deeper Sleep,43.0,0.532,0.992,10.0,-2.68,0,0.135,0.000794,0.1775619253660327,0.1,0.5,90.019,203244.0,4,8
17574,17574,Hadag Nahash,◊ú◊ê ◊û◊î ◊©◊ô◊§◊ô◊ú ◊ê◊ï◊™◊ô,21.0,0.595,0.727,5.0,-7.179,1,0.0759,0.186,0.1775619253660327,0.0945,0.328,150.107,298357.0,4,5
2932,2932,Hunter Hayes,I Want Crazy - Encore,64.0,0.562,0.878,8.0,-4.806,1,0.0387,0.0539,0.1775619253660327,0.112,0.558,103.029,3.94775,4,4
9929,9929,"Claus Waidtløw, Nikolaj Hess, Portraits in Jazz",Melancholia,19.0,0.364,0.101,5.952446502315104,-18.306,0,0.035,0.977,0.631,0.116,0.049,114.628,3.838233333,3,7
4319,4319,Dexter Gordon,Le Coiffeur,42.0,0.686,0.372,5.952446502315104,-12.663,1,0.0356,0.78,2.73e-05,0.101,0.536,118.562,7.04,4,7
13407,13407,Jax Anderson,Good Day (feat. MisterWives & Curtis Roach),49.0,0.557,0.673,1.0,-6.616,1,0.246,0.279,2.03e-05,0.0719,0.501,76.241,216000.0,4,9
10088,10088,Robert Palmer,Sneakin' Sally Through The Alley,56.0,0.64,0.679,4.0,-12.356,1,0.0302,0.424,0.00294,0.0878,0.965,99.296,265893.0,4,10
14204,14204,We Were Giants,The Final Encounter,36.0,0.558,0.982,10.0,-2.99,0,0.117,0.00171,0.117,0.334,0.202,119.977,196000.0,4,10
16636,16636,Nothing But Thieves,Unperson,53.0,0.535,0.904,1.0,-6.041,1,0.109,0.00227,0.0085,0.0301,0.274,140.002,204537.0,4,10
15318,15318,Native Dancer,Pixies,26.0,0.607,0.413,6.0,-11.455,0,0.0392,0.525,0.0172,0.0929,0.234,91.951,294360.0,4,1
7450,7450,Baby Queen,These Drugs,42.0,0.555,0.606,11.0,-5.806,1,0.0294,0.00882,5.59e-06,0.118,0.147,93.016,242045.0,4,9
10482,10482,Morray,Facade,51.0,0.779,0.633,6.0,-8.317,0,0.214,0.0338,0.1775619253660327,0.162,0.466,96.047,143107.0,4,5
11360,11360,WuW,En souvenir des jours que nous n'aurons pas v√©cus,26.0,0.253,0.845,2.0,-6.982,0,0.0656,0.00142,0.839,0.101,0.164,114.235,431253.0,3,8
1394,1394,Osi And The Jupiter,Baldur,46.0,0.104,0.352,9.0,-15.31,0,0.0422,0.194,0.858,0.0904,0.0373,90.265,395337.0,3,8
9194,9194,Sparks,This Town Ain't Big Enough For Both Of Us,37.0,0.462,0.703,2.0,-12.691,1,0.0663,0.358,0.000477,0.332,0.691,129.821,185827.0,4,1
15367,15367,Slipknot,Duality,77.0,0.354,0.982,4.0,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,252613.0,4,8
16165,16165,Buckcherry,Crazy Bitch,68.0,0.661,0.978,1.0,-3.064,0,0.107,0.0247,0.1775619253660327,0.0856,0.592,98.019,204960.0,4,8
16459,16459,The Luka State,Bury Me,44.0,0.35,0.846,4.0,-8.265,0,0.0657,1.57e-05,0.000639,0.333,0.737,178.031,182758.0,4,1
8021,8021,Bone Crusher,Never Scared (feat. Killer Mike & T.I.) - Club Mix,57.0,0.586,0.927,11.0,-4.077,0,0.194,0.00924,1.85e-06,0.344,0.528,73.023,316133.0,4,5
797,797,Michael Kiwanuka,Hero,57.0,0.532,0.942,4.0,-3.395,0,0.0348,0.0232,0.848,0.104,0.533,95.065,199133.0,4,9
9242,9242,The Fratellis,Chelsea Dagger,56.0,0.51,0.818,7.0,-3.205,1,0.157,0.0439,0.1775619253660327,0.0801,0.574,154.561,202617.0,4,1
12774,12774,Eden Derso,◊™◊û◊ô◊ì,24.0,0.759,0.643,5.952446502315104,-6.886,1,0.271,0.372,1.34e-05,0.226,0.638,176.068,132955.0,4,5
336,336,Rochelle Jordan,Something,34.0,0.778,0.703,1.0,-5.978,0,0.0391,0.0193,4.21e-05,0.069,0.493,126.015,239516.0,3,6
2764,2764,King Charles,Freak - Radio Edit,28.0,0.597,0.457,2.0,-5.931,0,0.0479,0.0374,0.313,0.114,0.416,170.017,219978.0,4,1
15347,15347,MOLYBARON,Amongst The Boys And The Dead Flowers,44.51212431693989,0.46,0.984,5.0,-3.572,1,0.123,4.98e-05,0.857,0.0418,0.376,108.677,253824.0,3,10
16408,16408,Westlife,My Blood,41.0,0.549,0.711,11.0,-5.025,1,0.187,0.0563,0.1775619253660327,0.0607,0.32,187.932,3.298216667,4,9
14724,14724,Elton John,Tiny Dancer,79.0,0.414,0.428,5.952446502315104,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,377093.0,4,9
17853,17853,Throwing Muses,Not Too Soon,41.0,0.446,0.906,4.0,-13.128,1,0.0353,0.00231,0.889,0.151,0.899,154.177,190160.0,4,6
5364,5364,Body Count,Bum-Rush,44.0,0.511,0.967,8.0,-1.721,1,0.0995,2.43e-05,0.000785,0.308,0.351,141.336,203560.0,4,8
2832,2832,Jacob Whitesides,Faking In Love - Acoustic,41.0,0.401,0.196,5.952446502315104,-13.299,1,0.0346,0.812,0.1775619253660327,0.154,0.171,105.001,196652.0,4,9
9942,9942,The Black Dahlia Murder,Verminous,44.0,0.503,0.943,1.0,-7.368,1,0.156,2.77e-05,0.86,0.806,0.199,115.02,229808.0,4,8
2724,2724,Supergrass,"Tales of Endurance, Pt. 4, 5 & 6",53.0,0.282,0.648,9.0,-7.604,0,0.0291,0.012,0.401,0.216,0.117,91.536,331427.0,4,6
12581,12581,"Tate McRae, Khalid",working,80.0,0.783,0.435,7.0,-7.78,1,0.0588,0.282,0.1775619253660327,0.0833,0.512,106.974,3.50366667,4,9
9674,9674,Leah,Sanctuary,38.0,0.48,0.817,7.0,-6.227,0,0.0465,0.00652,0.00157,0.101,0.232,119.989,284549.0,3,8
6629,6629,OneRepublic,Wherever I Go,62.0,0.552,0.689,10.0,-6.444,0,0.0425,0.0915,0.1775619253660327,0.27,0.349,99.961,169773.0,4,10
16496,16496,Sparklehorse,Wish You Were Here,47.0,0.787,0.132,2.0,-16.174,1,0.0343,0.363,0.794,0.223,0.0933,104.928,418160.0,4,6
11956,11956,Harry Styles,Watermelon Sugar,90.0,0.548,0.816,5.952446502315104,-4.209,1,0.0465,0.122,0.1775619253660327,0.335,0.557,95.39,174000.0,4,9
2846,2846,Wednesday 13,Screwdriver 2 - The Return,37.0,0.464,0.941,7.0,-8.879,1,0.0815,4.07e-06,0.00606,0.115,0.535,137.978,134091.0,4,8
17407,17407,Softspoken,The Road,37.0,0.417,0.932,5.0,-4.096,0,0.0579,0.000221,9.12e-05,0.412,0.184,79.998,226600.0,4,8
17675,17675,Supertramp,Give A Little Bit,75.0,0.531,0.818,2.0,-5.358,1,0.0452,0.0694,0.0096,0.263,0.471,90.767,4.13621667,4,10
9520,9520,SZA,Good Days,89.0,0.436,0.655,1.0,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204.0,4,9
